Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,3551,当前在售(13)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,1388,当前在售(13)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,1129,当前在售(13)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,1077,当前在售(13)
2023-6-6 9:24,P2000 | 绝命密电 (略有磨损) ,军规级,普通,手枪,略有磨损,83,当前在售(39)
2023-6-6 9:24,P2000 | 绝命密电 (崭新出厂),军规级,普通,手枪,崭新出厂,84.28,当前在售(39)
2023-6-6 9:24,P2000 | 绝命密电 (久经沙场),军规级,普通,手枪,久经沙场,82.18,当前在售(39)
2023-6-6 9:24,P2000 | 绝命密电 (破损不堪),军规级,普通,手枪,破损不堪,82,当前在售(39)
2023-6-6 9:24,P2000 | 绝命密电 (战痕累累),军规级,普通,手枪,战痕累累,80,当前在售(39)
2023-6-6 9:24,UMP-45 | 逮捕者 (略有磨损) ,军规级,普通,微型冲锋枪,略有磨损,4.05,当前在售(141)
2023-6-6 9:24,UMP-45 | 逮捕者 (崭新出厂),军规级,普通,微型冲锋枪,崭新出厂,5.98,当前在售(141)
2023-6-6 9:24,UMP-45 | 逮捕者 (久经沙场),军规级,普通,微型冲锋枪,久经沙场,2.89,当前在售(141)
2023-6-6 9:24,UMP-45 | 逮捕者 (破损不堪),军规级,普通,微型冲锋枪,破损不堪,2.71,当前在售(141)
2023-6-6 9:24,UMP-45 | 逮捕者 (战痕累累),军规级,普通,微型冲锋枪,战痕累累,2.36,当前在售(141)
2023-6-6 9:24,蝴蝶刀（★） | 致命紫罗兰 (略有磨损) ,隐秘,★,匕首,略有磨损,8645.8,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 致命紫罗兰 (崭新出厂),隐秘,★,匕首,崭新出厂,18600,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 致命紫罗兰 (久经沙场),隐秘,★,匕首,久经沙场,5550,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 致命紫罗兰 (破损不堪),隐秘,★,匕首,破损不堪,5149,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 致命紫罗兰 (战痕累累),隐秘,★,匕首,战痕累累,4620,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 大马士革钢 (略有磨损) ,隐秘,★,匕首,略有磨损,7214,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,8240,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,6489.5,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,6095,当前在售(145)
2023-6-6 9:24,蝴蝶刀（★） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,5949,当前在售(145)
2023-6-6 9:24,P2000（StatTrak™） | 黑曜石 (略有磨损) ,受限,StatTrak™,手枪,略有磨损,34.6,当前在售(28)
2023-6-6 9:24,P2000（StatTrak™） | 黑曜石 (崭新出厂),受限,StatTrak™,手枪,崭新出厂,89.65,当前在售(28)
2023-6-6 9:24,P2000（StatTrak™） | 黑曜石 (久经沙场),受限,StatTrak™,手枪,久经沙场,13,当前在售(28)
2023-6-6 9:24,P2000（StatTrak™） | 黑曜石 (破损不堪),受限,StatTrak™,手枪,破损不堪,12.39,当前在售(28)
2023-6-6 9:24,P2000（StatTrak™） | 黑曜石 (战痕累累),受限,StatTrak™,手枪,战痕累累,13.69,当前在售(28)
2023-6-6 9:24,蝴蝶刀（★） | 澄澈之水 (略有磨损) ,隐秘,★,匕首,略有磨损,7780,当前在售(133)
2023-6-6 9:24,蝴蝶刀（★） | 澄澈之水 (崭新出厂),隐秘,★,匕首,崭新出厂,8549.5,当前在售(133)
