Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-2 20:18,UMP-45（StatTrak™） | 野蛮剑齿虎 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,30.04,当前在售(102)
2023-6-2 20:18,UMP-45（StatTrak™） | 野蛮剑齿虎 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,32.59,当前在售(102)
2023-6-2 20:18,UMP-45（StatTrak™） | 野蛮剑齿虎 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,18.38,当前在售(102)
2023-6-2 20:18,蝴蝶刀（★） | 传说 (略有磨损) ,隐秘,★,匕首,略有磨损,26950,当前在售(229)
2023-6-2 20:18,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,49999,当前在售(229)
2023-6-2 20:18,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,14100,当前在售(229)
2023-6-2 20:18,蝴蝶刀（★） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,10040,当前在售(229)
2023-6-2 20:18,蝴蝶刀（★） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,7099,当前在售(229)
2023-6-2 20:18,P2000 | 绝命密电 (略有磨损) ,军规级,普通,手枪,略有磨损,81.88,当前在售(46)
2023-6-2 20:18,P2000 | 绝命密电 (崭新出厂),军规级,普通,手枪,崭新出厂,87.9,当前在售(46)
2023-6-2 20:18,P2000 | 绝命密电 (久经沙场),军规级,普通,手枪,久经沙场,81.08,当前在售(46)
2023-6-2 20:18,P2000 | 绝命密电 (破损不堪),军规级,普通,手枪,破损不堪,82.06,当前在售(46)
2023-6-2 20:18,P2000 | 绝命密电 (战痕累累),军规级,普通,手枪,战痕累累,82,当前在售(46)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 澄澈之水 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,910,当前在售(6)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 澄澈之水 (崭新出厂),隐秘,★,匕首,崭新出厂,1065,当前在售(6)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场),隐秘,★,匕首,久经沙场,750,当前在售(6)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 澄澈之水 (破损不堪),隐秘,★,匕首,破损不堪,715,当前在售(6)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 澄澈之水 (战痕累累),隐秘,★,匕首,战痕累累,888.38,当前在售(6)
2023-6-2 20:18,UMP-45（StatTrak™） | 支架 (略有磨损) ,受限,StatTrak™,微型冲锋枪,略有磨损,21.8,当前在售(92)
2023-6-2 20:18,UMP-45（StatTrak™） | 支架 (崭新出厂),受限,StatTrak™,微型冲锋枪,崭新出厂,40,当前在售(92)
2023-6-2 20:18,UMP-45（StatTrak™） | 支架 (久经沙场),受限,StatTrak™,微型冲锋枪,久经沙场,14.19,当前在售(92)
2023-6-2 20:18,UMP-45（StatTrak™） | 支架 (破损不堪),受限,StatTrak™,微型冲锋枪,破损不堪,12.51,当前在售(92)
2023-6-2 20:18,UMP-45（StatTrak™） | 支架 (战痕累累),受限,StatTrak™,微型冲锋枪,战痕累累,11.96,当前在售(92)
2023-6-2 20:18,P2000（StatTrak™） | 黑曜石 (略有磨损) ,受限,StatTrak™,手枪,略有磨损,33,当前在售(30)
2023-6-2 20:18,P2000（StatTrak™） | 黑曜石 (崭新出厂),受限,StatTrak™,手枪,崭新出厂,89.66,当前在售(30)
2023-6-2 20:18,P2000（StatTrak™） | 黑曜石 (久经沙场),受限,StatTrak™,手枪,久经沙场,13.66,当前在售(30)
2023-6-2 20:18,P2000（StatTrak™） | 黑曜石 (破损不堪),受限,StatTrak™,手枪,破损不堪,13.9,当前在售(30)
2023-6-2 20:18,P2000（StatTrak™） | 黑曜石 (战痕累累),受限,StatTrak™,手枪,战痕累累,13.99,当前在售(30)
2023-6-2 20:18,蝴蝶刀（★） | 致命紫罗兰 (略有磨损) ,隐秘,★,匕首,略有磨损,8540,当前在售(148)
2023-6-2 20:18,蝴蝶刀（★） | 致命紫罗兰 (崭新出厂),隐秘,★,匕首,崭新出厂,18600,当前在售(148)
2023-6-2 20:18,蝴蝶刀（★） | 致命紫罗兰 (久经沙场),隐秘,★,匕首,久经沙场,5570,当前在售(148)
2023-6-2 20:18,蝴蝶刀（★） | 致命紫罗兰 (破损不堪),隐秘,★,匕首,破损不堪,5159.5,当前在售(148)
2023-6-2 20:18,蝴蝶刀（★） | 致命紫罗兰 (战痕累累),隐秘,★,匕首,战痕累累,4663.5,当前在售(148)
2023-6-2 20:18,UMP-45（StatTrak™） | 动量 (略有磨损) ,保密,StatTrak™,微型冲锋枪,略有磨损,71.72,当前在售(89)
2023-6-2 20:18,UMP-45（StatTrak™） | 动量 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,134.5,当前在售(89)
2023-6-2 20:18,UMP-45（StatTrak™） | 动量 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,44.68,当前在售(89)
2023-6-2 20:18,UMP-45（StatTrak™） | 动量 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,42.89,当前在售(89)
2023-6-2 20:18,UMP-45（StatTrak™） | 动量 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,42.35,当前在售(89)
2023-6-2 20:18,SG 553 | 锈蚀之刃 (略有磨损) ,军规级,普通,步枪,略有磨损,0.74,当前在售(1000+)
2023-6-2 20:18,SG 553 | 锈蚀之刃 (崭新出厂),军规级,普通,步枪,崭新出厂,1.49,当前在售(1000+)
2023-6-2 20:18,SG 553 | 锈蚀之刃 (久经沙场),军规级,普通,步枪,久经沙场,0.41,当前在售(1000+)
2023-6-2 20:18,SG 553 | 锈蚀之刃 (破损不堪),军规级,普通,步枪,破损不堪,0.37,当前在售(1000+)
2023-6-2 20:18,SG 553 | 锈蚀之刃 (战痕累累),军规级,普通,步枪,战痕累累,0.33,当前在售(1000+)
2023-6-2 20:18,P2000（StatTrak™） | 珊瑚树 (略有磨损) ,保密,StatTrak™,手枪,略有磨损,95.49,当前在售(30)
2023-6-2 20:18,P2000（StatTrak™） | 珊瑚树 (崭新出厂),保密,StatTrak™,手枪,崭新出厂,348.39,当前在售(30)
2023-6-2 20:18,P2000（StatTrak™） | 珊瑚树 (久经沙场),保密,StatTrak™,手枪,久经沙场,67.22,当前在售(30)
2023-6-2 20:18,SG 553 | 军队之辉 (略有磨损) ,消费级,普通,步枪,略有磨损,0.19,当前在售(839)
2023-6-2 20:18,SG 553 | 军队之辉 (崭新出厂),消费级,普通,步枪,崭新出厂,0.54,当前在售(839)
2023-6-2 20:18,SG 553 | 军队之辉 (久经沙场),消费级,普通,步枪,久经沙场,0.24,当前在售(839)
2023-6-2 20:18,蝴蝶刀（★） | 大马士革钢 (略有磨损) ,隐秘,★,匕首,略有磨损,7200,当前在售(140)
2023-6-2 20:18,蝴蝶刀（★） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,8149.03,当前在售(140)
2023-6-2 20:18,蝴蝶刀（★） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,6485.5,当前在售(140)
2023-6-2 20:18,蝴蝶刀（★） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,6139,当前在售(140)
2023-6-2 20:18,蝴蝶刀（★） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,5939.5,当前在售(140)
2023-6-2 20:18,UMP-45（StatTrak™） | 迷幻 (略有磨损) ,军规级,StatTrak™,微型冲锋枪,略有磨损,9.84,当前在售(99)
2023-6-2 20:18,UMP-45（StatTrak™） | 迷幻 (崭新出厂),军规级,StatTrak™,微型冲锋枪,崭新出厂,23.9,当前在售(99)
2023-6-2 20:18,UMP-45（StatTrak™） | 迷幻 (久经沙场),军规级,StatTrak™,微型冲锋枪,久经沙场,6.77,当前在售(99)
