Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-20 11:22,SG 553 | 赛博之力 (久经沙场),军规级,普通,步枪,久经沙场,0.67,当前在售(1000+)
2023-6-20 11:22,SG 553 | 赛博之力 (破损不堪),军规级,普通,步枪,破损不堪,0.54,当前在售(1000+)
2023-6-20 11:22,SG 553 | 赛博之力 (战痕累累),军规级,普通,步枪,战痕累累,0.53,当前在售(1000+)
2023-6-20 11:22,蝴蝶刀（★） | 致命紫罗兰 (略有磨损),隐秘,★,匕首,略有磨损,8484.85,当前在售(175)
2023-6-20 11:22,蝴蝶刀（★） | 致命紫罗兰 (崭新出厂),隐秘,★,匕首,崭新出厂,17699.5,当前在售(175)
2023-6-20 11:22,蝴蝶刀（★） | 致命紫罗兰 (久经沙场),隐秘,★,匕首,久经沙场,5555,当前在售(175)
2023-6-20 11:22,蝴蝶刀（★） | 致命紫罗兰 (破损不堪),隐秘,★,匕首,破损不堪,5130,当前在售(175)
2023-6-20 11:22,蝴蝶刀（★） | 致命紫罗兰 (战痕累累),隐秘,★,匕首,战痕累累,4510,当前在售(175)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 澄澈之水 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,789.5,当前在售(18)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 澄澈之水 (崭新出厂),隐秘,★,匕首,崭新出厂,959,当前在售(18)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场),隐秘,★,匕首,久经沙场,688.28,当前在售(18)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 澄澈之水 (战痕累累),隐秘,★,匕首,战痕累累,999,当前在售(18)
2023-6-20 11:22,SG 553 | 锈蚀之刃 (略有磨损),军规级,普通,步枪,略有磨损,0.66,当前在售(1000+)
2023-6-20 11:22,SG 553 | 锈蚀之刃 (崭新出厂),军规级,普通,步枪,崭新出厂,1.19,当前在售(1000+)
2023-6-20 11:22,SG 553 | 锈蚀之刃 (久经沙场),军规级,普通,步枪,久经沙场,0.31,当前在售(1000+)
2023-6-20 11:22,SG 553 | 锈蚀之刃 (破损不堪),军规级,普通,步枪,破损不堪,0.27,当前在售(1000+)
2023-6-20 11:22,SG 553 | 锈蚀之刃 (战痕累累),军规级,普通,步枪,战痕累累,0.3,当前在售(1000+)
2023-6-20 11:22,P2000 | 绝命密电 (略有磨损),军规级,普通,手枪,略有磨损,86.98,当前在售(39)
2023-6-20 11:22,P2000 | 绝命密电 (崭新出厂),军规级,普通,手枪,崭新出厂,90.8,当前在售(39)
2023-6-20 11:22,P2000 | 绝命密电 (久经沙场),军规级,普通,手枪,久经沙场,85.39,当前在售(39)
2023-6-20 11:22,P2000 | 绝命密电 (破损不堪),军规级,普通,手枪,破损不堪,84.99,当前在售(39)
2023-6-20 11:22,P2000 | 绝命密电 (战痕累累),军规级,普通,手枪,战痕累累,85.73,当前在售(39)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 表面淬火 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1497,当前在售(10)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,1515,当前在售(10)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,1042,当前在售(10)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,1188,当前在售(10)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自由之手 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1038.9,当前在售(7)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自由之手 (崭新出厂),隐秘,★,匕首,崭新出厂,1360.63,当前在售(7)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自由之手 (久经沙场),隐秘,★,匕首,久经沙场,907.69,当前在售(7)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自由之手 (破损不堪),隐秘,★,匕首,破损不堪,865.5,当前在售(7)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 自由之手 (战痕累累),隐秘,★,匕首,战痕累累,929,当前在售(7)
2023-6-20 11:22,P2000（StatTrak™） | 黑曜石 (略有磨损),受限,StatTrak™,手枪,略有磨损,35.5,当前在售(35)
2023-6-20 11:22,P2000（StatTrak™） | 黑曜石 (崭新出厂),受限,StatTrak™,手枪,崭新出厂,88.34,当前在售(35)
2023-6-20 11:22,P2000（StatTrak™） | 黑曜石 (久经沙场),受限,StatTrak™,手枪,久经沙场,13.54,当前在售(35)
2023-6-20 11:22,P2000（StatTrak™） | 黑曜石 (破损不堪),受限,StatTrak™,手枪,破损不堪,13.71,当前在售(35)
2023-6-20 11:22,P2000（StatTrak™） | 黑曜石 (战痕累累),受限,StatTrak™,手枪,战痕累累,9.38,当前在售(35)
2023-6-20 11:22,蝴蝶刀（★） | 大马士革钢 (略有磨损),隐秘,★,匕首,略有磨损,7050,当前在售(151)
2023-6-20 11:22,蝴蝶刀（★） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,8000,当前在售(151)
2023-6-20 11:22,蝴蝶刀（★） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,6250,当前在售(151)
2023-6-20 11:22,蝴蝶刀（★） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,6010,当前在售(151)
2023-6-20 11:22,蝴蝶刀（★） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,5899,当前在售(151)
2023-6-20 11:22,UMP-45（StatTrak™） | 支架 (略有磨损),受限,StatTrak™,微型冲锋枪,略有磨损,20,当前在售(97)
2023-6-20 11:22,UMP-45（StatTrak™） | 支架 (崭新出厂),受限,StatTrak™,微型冲锋枪,崭新出厂,40.78,当前在售(97)
2023-6-20 11:22,UMP-45（StatTrak™） | 支架 (久经沙场),受限,StatTrak™,微型冲锋枪,久经沙场,13.9,当前在售(97)
2023-6-20 11:22,UMP-45（StatTrak™） | 支架 (破损不堪),受限,StatTrak™,微型冲锋枪,破损不堪,12.9,当前在售(97)
2023-6-20 11:22,UMP-45（StatTrak™） | 支架 (战痕累累),受限,StatTrak™,微型冲锋枪,战痕累累,12.54,当前在售(97)
2023-6-20 11:22,SG 553 | 军队之辉 (略有磨损),消费级,普通,步枪,略有磨损,0.17,当前在售(840)
2023-6-20 11:22,SG 553 | 军队之辉 (崭新出厂),消费级,普通,步枪,崭新出厂,0.29,当前在售(840)
2023-6-20 11:22,SG 553 | 军队之辉 (久经沙场),消费级,普通,步枪,久经沙场,0.14,当前在售(840)
2023-6-20 11:22,蝴蝶刀（★） | 澄澈之水 (略有磨损),隐秘,★,匕首,略有磨损,7400,当前在售(152)
2023-6-20 11:22,蝴蝶刀（★） | 澄澈之水 (崭新出厂),隐秘,★,匕首,崭新出厂,8292.09,当前在售(152)
2023-6-20 11:22,蝴蝶刀（★） | 澄澈之水 (久经沙场),隐秘,★,匕首,久经沙场,6489.5,当前在售(152)
2023-6-20 11:22,蝴蝶刀（★） | 澄澈之水 (破损不堪),隐秘,★,匕首,破损不堪,5750,当前在售(152)
2023-6-20 11:22,蝴蝶刀（★） | 澄澈之水 (战痕累累),隐秘,★,匕首,战痕累累,5555,当前在售(152)
2023-6-20 11:22,UMP-45（StatTrak™） | 动量 (略有磨损),保密,StatTrak™,微型冲锋枪,略有磨损,69.99,当前在售(120)
2023-6-20 11:22,UMP-45（StatTrak™） | 动量 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,125,当前在售(120)
2023-6-20 11:22,UMP-45（StatTrak™） | 动量 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,43.69,当前在售(120)
2023-6-20 11:22,UMP-45（StatTrak™） | 动量 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,42,当前在售(120)
2023-6-20 11:22,UMP-45（StatTrak™） | 动量 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,39,当前在售(120)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 人工染色 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,950,当前在售(5)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 人工染色 (崭新出厂),隐秘,★,匕首,崭新出厂,2000,当前在售(5)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 人工染色 (久经沙场),隐秘,★,匕首,久经沙场,730,当前在售(5)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 人工染色 (战痕累累),隐秘,★,匕首,战痕累累,800,当前在售(5)
2023-6-20 11:22,P2000（StatTrak™） | 珊瑚树 (略有磨损),保密,StatTrak™,手枪,略有磨损,107.98,当前在售(25)
2023-6-20 11:22,P2000（StatTrak™） | 珊瑚树 (崭新出厂),保密,StatTrak™,手枪,崭新出厂,249,当前在售(25)
