Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-11 21:4,蝴蝶刀（★） | 传说 (崭新出厂),隐秘,★,匕首,崭新出厂,49900,当前在售(242)
2023-6-11 21:4,蝴蝶刀（★） | 传说 (久经沙场),隐秘,★,匕首,久经沙场,13999.5,当前在售(242)
2023-6-11 21:4,蝴蝶刀（★） | 传说 (破损不堪),隐秘,★,匕首,破损不堪,9880,当前在售(242)
2023-6-11 21:4,蝴蝶刀（★） | 传说 (战痕累累),隐秘,★,匕首,战痕累累,7145,当前在售(242)
2023-6-11 21:4,SG 553 | 青龙 (略有磨损),受限,普通,步枪,略有磨损,8.91,当前在售(1000+)
2023-6-11 21:4,SG 553 | 青龙 (崭新出厂),受限,普通,步枪,崭新出厂,16.59,当前在售(1000+)
2023-6-11 21:4,SG 553 | 青龙 (久经沙场),受限,普通,步枪,久经沙场,4.72,当前在售(1000+)
2023-6-11 21:4,SG 553 | 青龙 (破损不堪),受限,普通,步枪,破损不堪,4.2,当前在售(1000+)
2023-6-11 21:4,SG 553 | 青龙 (战痕累累),受限,普通,步枪,战痕累累,3.93,当前在售(1000+)
2023-6-11 21:4,UMP-45（StatTrak™） | 野蛮剑齿虎 (略有磨损),保密,StatTrak™,微型冲锋枪,略有磨损,59.5,当前在售(115)
2023-6-11 21:4,UMP-45（StatTrak™） | 野蛮剑齿虎 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,157,当前在售(115)
2023-6-11 21:4,UMP-45（StatTrak™） | 野蛮剑齿虎 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,28.08,当前在售(115)
2023-6-11 21:4,UMP-45（StatTrak™） | 野蛮剑齿虎 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,30.7,当前在售(115)
2023-6-11 21:4,UMP-45（StatTrak™） | 野蛮剑齿虎 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,23.4,当前在售(115)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 澄澈之水 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,884.5,当前在售(15)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 澄澈之水 (崭新出厂),隐秘,★,匕首,崭新出厂,988.5,当前在售(15)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场),隐秘,★,匕首,久经沙场,728,当前在售(15)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 澄澈之水 (战痕累累),隐秘,★,匕首,战痕累累,755.05,当前在售(15)
2023-6-11 21:4,UMP-45（StatTrak™） | 支架 (略有磨损),受限,StatTrak™,微型冲锋枪,略有磨损,18.96,当前在售(95)
2023-6-11 21:4,UMP-45（StatTrak™） | 支架 (崭新出厂),受限,StatTrak™,微型冲锋枪,崭新出厂,42.6,当前在售(95)
2023-6-11 21:4,UMP-45（StatTrak™） | 支架 (久经沙场),受限,StatTrak™,微型冲锋枪,久经沙场,13.59,当前在售(95)
2023-6-11 21:4,UMP-45（StatTrak™） | 支架 (破损不堪),受限,StatTrak™,微型冲锋枪,破损不堪,13.21,当前在售(95)
2023-6-11 21:4,UMP-45（StatTrak™） | 支架 (战痕累累),受限,StatTrak™,微型冲锋枪,战痕累累,11.27,当前在售(95)
2023-6-11 21:4,蝴蝶刀（★） | 致命紫罗兰 (略有磨损),隐秘,★,匕首,略有磨损,8466,当前在售(165)
2023-6-11 21:4,蝴蝶刀（★） | 致命紫罗兰 (崭新出厂),隐秘,★,匕首,崭新出厂,18100,当前在售(165)
2023-6-11 21:4,蝴蝶刀（★） | 致命紫罗兰 (久经沙场),隐秘,★,匕首,久经沙场,5590,当前在售(165)
2023-6-11 21:4,蝴蝶刀（★） | 致命紫罗兰 (破损不堪),隐秘,★,匕首,破损不堪,5190,当前在售(165)
2023-6-11 21:4,蝴蝶刀（★） | 致命紫罗兰 (战痕累累),隐秘,★,匕首,战痕累累,4640,当前在售(165)
2023-6-11 21:4,SG 553 | 赛博之力 (略有磨损),军规级,普通,步枪,略有磨损,1.73,当前在售(1000+)
2023-6-11 21:4,SG 553 | 赛博之力 (崭新出厂),军规级,普通,步枪,崭新出厂,3.61,当前在售(1000+)
2023-6-11 21:4,SG 553 | 赛博之力 (久经沙场),军规级,普通,步枪,久经沙场,0.93,当前在售(1000+)
2023-6-11 21:4,SG 553 | 赛博之力 (破损不堪),军规级,普通,步枪,破损不堪,0.73,当前在售(1000+)
2023-6-11 21:4,SG 553 | 赛博之力 (战痕累累),军规级,普通,步枪,战痕累累,0.69,当前在售(1000+)
2023-6-11 21:4,UMP-45（StatTrak™） | 动量 (略有磨损),保密,StatTrak™,微型冲锋枪,略有磨损,71.44,当前在售(110)
2023-6-11 21:4,UMP-45（StatTrak™） | 动量 (崭新出厂),保密,StatTrak™,微型冲锋枪,崭新出厂,126,当前在售(110)
2023-6-11 21:4,UMP-45（StatTrak™） | 动量 (久经沙场),保密,StatTrak™,微型冲锋枪,久经沙场,44.79,当前在售(110)
2023-6-11 21:4,UMP-45（StatTrak™） | 动量 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,40.1,当前在售(110)
2023-6-11 21:4,UMP-45（StatTrak™） | 动量 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,43.2,当前在售(110)
2023-6-11 21:4,P2000 | 绝命密电 (略有磨损),军规级,普通,手枪,略有磨损,85,当前在售(24)
2023-6-11 21:4,P2000 | 绝命密电 (崭新出厂),军规级,普通,手枪,崭新出厂,85.84,当前在售(24)
2023-6-11 21:4,P2000 | 绝命密电 (久经沙场),军规级,普通,手枪,久经沙场,84.99,当前在售(24)
2023-6-11 21:4,P2000 | 绝命密电 (破损不堪),军规级,普通,手枪,破损不堪,86.66,当前在售(24)
2023-6-11 21:4,P2000 | 绝命密电 (战痕累累),军规级,普通,手枪,战痕累累,82.9,当前在售(24)
2023-6-11 21:4,蝴蝶刀（★） | 大马士革钢 (略有磨损),隐秘,★,匕首,略有磨损,7139.51,当前在售(145)
2023-6-11 21:4,蝴蝶刀（★） | 大马士革钢 (崭新出厂),隐秘,★,匕首,崭新出厂,8130,当前在售(145)
2023-6-11 21:4,蝴蝶刀（★） | 大马士革钢 (久经沙场),隐秘,★,匕首,久经沙场,6450,当前在售(145)
2023-6-11 21:4,蝴蝶刀（★） | 大马士革钢 (破损不堪),隐秘,★,匕首,破损不堪,6008,当前在售(145)
2023-6-11 21:4,蝴蝶刀（★） | 大马士革钢 (战痕累累),隐秘,★,匕首,战痕累累,5980,当前在售(145)
2023-6-11 21:4,P2000（StatTrak™） | 黑曜石 (略有磨损),受限,StatTrak™,手枪,略有磨损,37,当前在售(28)
2023-6-11 21:4,P2000（StatTrak™） | 黑曜石 (崭新出厂),受限,StatTrak™,手枪,崭新出厂,87.45,当前在售(28)
2023-6-11 21:4,P2000（StatTrak™） | 黑曜石 (久经沙场),受限,StatTrak™,手枪,久经沙场,14.29,当前在售(28)
2023-6-11 21:4,P2000（StatTrak™） | 黑曜石 (破损不堪),受限,StatTrak™,手枪,破损不堪,12.12,当前在售(28)
2023-6-11 21:4,P2000（StatTrak™） | 黑曜石 (战痕累累),受限,StatTrak™,手枪,战痕累累,10.36,当前在售(28)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 表面淬火 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1600,当前在售(8)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,1298,当前在售(8)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,1089.5,当前在售(8)
2023-6-11 21:4,暗影双匕（★ StatTrak™） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,3300,当前在售(8)
2023-6-11 21:4,蝴蝶刀（★） | 澄澈之水 (略有磨损),隐秘,★,匕首,略有磨损,7677,当前在售(135)
2023-6-11 21:4,蝴蝶刀（★） | 澄澈之水 (崭新出厂),隐秘,★,匕首,崭新出厂,8530,当前在售(135)
2023-6-11 21:4,蝴蝶刀（★） | 澄澈之水 (久经沙场),隐秘,★,匕首,久经沙场,6670,当前在售(135)
2023-6-11 21:4,蝴蝶刀（★） | 澄澈之水 (破损不堪),隐秘,★,匕首,破损不堪,5868,当前在售(135)
2023-6-11 21:4,蝴蝶刀（★） | 澄澈之水 (战痕累累),隐秘,★,匕首,战痕累累,5697.5,当前在售(135)
2023-6-11 21:4,P2000（StatTrak™） | 珊瑚树 (略有磨损),保密,StatTrak™,手枪,略有磨损,93.05,当前在售(30)
2023-6-11 21:4,P2000（StatTrak™） | 珊瑚树 (崭新出厂),保密,StatTrak™,手枪,崭新出厂,299,当前在售(30)
